Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-hl7.fhir.be.patient-monitoring.json	7809	-	0	0	0	0	0	0	7	255	0	0	0	0	0	0	0	1	0	0	149	143	0	0	0	5	0	2
fsh-generated/resources/Observation-AbdominalPainExample.json	1217	16	1	0	0	1	0	0	0	800	0	0	0	0	0	0	0	0	0	0	21	25	0	0	0	0	0	0
fsh-generated/resources/Observation-BloodPressureExample.json	2349	16	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	24	32	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyTemperatureExample.json	1700	10	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	0	15	18	0	0	0	0	0	0
fsh-generated/resources/Observation-BodyWeightExample.json	1692	5	0	0	0	0	0	0	1	118	0	0	0	0	0	0	0	0	0	0	18	16	0	0	0	0	0	0
fsh-generated/resources/Observation-DistendedAbdomenExample.json	1220	5	1	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	13	14	0	0	0	0	0	0
fsh-generated/resources/Observation-HeartRateExample.json	1690	5	0	0	0	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	13	17	0	0	0	0	0	0
fsh-generated/resources/Observation-LevelOfResponsivenessExample.json	1161	5	0	0	0	0	0	0	0	220	0	0	0	0	0	0	0	0	0	0	11	14	0	0	0	0	0	0
fsh-generated/resources/Observation-NationalEarlyWarningScoreExample.json	1078	2	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	10	14	0	0	0	0	0	0
fsh-generated/resources/Observation-OxygenSaturationExample.json	1875	5	0	0	0	0	0	0	1	110	0	0	0	0	0	0	0	0	0	0	15	17	0	0	0	0	0	0
fsh-generated/resources/Observation-PainDuringUrinationExample.json	835	5	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Observation-PainInCalvesExample.json	830	4	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	8	14	0	0	0	0	0	0
fsh-generated/resources/Observation-PainMedicationTakenExample.json	822	4	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/Observation-PainSurgicalWoundsExample.json	1215	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	11	0	0	0	0	0	0
fsh-generated/resources/Observation-ReducedAppetiteExample.json	1225	4	1	0	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	11	13	0	0	0	0	0	0
fsh-generated/resources/Observation-RespiratoryRateExample.json	1771	5	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	13	15	0	0	0	0	0	0
fsh-generated/resources/Observation-ShortnessOfBreathExample.json	1171	4	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	12	13	0	0	0	0	0	0
fsh-generated/resources/Observation-ShoulderPainExample.json	1209	5	0	0	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	9	12	0	0	0	0	0	0
